id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
24750126,荒蛮故事,,https://dou.img.lithub.cc/movie/24750126.jpg,2014-05-17(戛纳电影节),https://movie.douban.com/subject/24750126/,8.8,"剧情,喜剧,犯罪",5,,,2018-08-08 21:27:54,2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪 / 达米安·斯兹弗隆 / 达里奥·格兰迪内蒂 玛丽娅·玛努尔
27622447,小偷家族,,https://dou.img.lithub.cc/movie/27622447.jpg,2018-08-03(中国大陆),https://movie.douban.com/subject/27622447/,8.7,"剧情,家庭,犯罪",4,人与人之间的关系是靠什么联系在一起的呢？,,2018-08-07 22:10:15,2018 / 日本 / 剧情 家庭 犯罪 / 是枝裕和 / 中川雅也 安藤樱
25882296,狄仁杰之四大天王,,https://dou.img.lithub.cc/movie/25882296.jpg,2018-07-27(中国大陆),https://movie.douban.com/subject/25882296/,6.1,"动作,悬疑,奇幻",2,此系列，可弃,,2018-07-29 00:51:03,2018 / 中国大陆 中国香港 / 动作 悬疑 奇幻 武侠 古装 / 徐克 / 赵又廷 冯绍峰
27040844,人生一串 第一季,,https://dou.img.lithub.cc/movie/27040844.jpg,2018-06-20(中国大陆),https://movie.douban.com/subject/27040844/,8.9,纪录片,5,饿eeeeeee,,2018-07-21 17:13:48,2018 / 中国大陆 / 纪录片 / 陈英杰 刘执戈 金颖 张岳明 赵云泽 李根
26752088,我不是药神,,https://dou.img.lithub.cc/movie/26752088.jpg,2018-07-05(中国大陆),https://movie.douban.com/subject/26752088/,9,"剧情,喜剧",5,除去渲染需要的情节，其余为导演主演点赞！,,2018-07-07 13:12:25,2018 / 中国大陆 / 剧情 喜剧 / 文牧野 / 徐峥 王传君
26925317,动物世界,,https://dou.img.lithub.cc/movie/26925317.jpg,2018-06-29(中国大陆),https://movie.douban.com/subject/26925317/,7.2,"剧情,动作,冒险",2,毫无实质,,2018-07-03 00:59:52,2018 / 中国大陆 / 剧情 动作 冒险 / 韩延 / 李易峰 迈克尔·道格拉斯
26930375,凭空而来,,https://dou.img.lithub.cc/movie/26930375.jpg,2017-05-26(戛纳电影节),https://movie.douban.com/subject/26930375/,7.4,"剧情,犯罪",4,无知，真知，谁知。,,2018-05-03 22:42:57,2017 / 德国 法国 / 剧情 犯罪 / 法提赫·阿金 / 黛安·克鲁格 丹尼斯·莫斯奇托
26603666,妈妈咪鸭,,https://dou.img.lithub.cc/movie/26603666.jpg,2018-03-09(中国大陆),https://movie.douban.com/subject/26603666/,7,"喜剧,动画,家庭",4,,,2018-05-03 20:47:50,2018 / 中国大陆 美国 / 喜剧 动画 家庭 冒险 / 赵锐 克里斯托弗·詹金斯 / 赵路 武皓栋
20435622,环太平洋：雷霆再起,,https://dou.img.lithub.cc/movie/20435622.jpg,2018-03-23(中国大陆),https://movie.douban.com/subject/20435622/,5.4,"动作,科幻,冒险",2,,,2018-04-25 22:37:17,2018 / 英国 中国大陆 日本 美国 墨西哥 / 动作 科幻 冒险 / 斯蒂文·S·迪奈特 / 约翰·博耶加 卡莉·史派妮
7056414,通勤营救,,https://dou.img.lithub.cc/movie/7056414.jpg,2018-03-30(中国大陆),https://movie.douban.com/subject/7056414/,6.5,"动作,惊悚,犯罪",4,,,2018-04-13 00:04:05,2018 / 美国 英国 / 动作 惊悚 犯罪 / 佐米·希尔拉 / 连姆·尼森 维拉·法米加
26861685,红海行动,,https://dou.img.lithub.cc/movie/26861685.jpg,2018-02-16(中国大陆),https://movie.douban.com/subject/26861685/,8.2,"动作,战争",4,,,2018-03-09 07:49:02,2018 / 中国大陆 中国香港 / 动作 战争 / 林超贤 / 张译 黄景瑜
26657126,不成问题的问题,,https://dou.img.lithub.cc/movie/26657126.jpg,2017-11-21(中国大陆),https://movie.douban.com/subject/26657126/,8.1,剧情,4,,,2018-03-01 22:26:13,2016 / 中国大陆 法国 / 剧情 / 梅峰 / 范伟 殷桃
27059130,大佛普拉斯,,https://dou.img.lithub.cc/movie/27059130.jpg,2017-10-13(中国台湾),https://movie.douban.com/subject/27059130/,8.7,"剧情,喜剧",4,,,2018-02-22 00:13:37,2017 / 中国台湾 / 剧情 喜剧 / 黄信尧 / 庄益增 陈竹升
26965165,马斯顿教授与神奇女侠,,https://dou.img.lithub.cc/movie/26965165.jpg,2017-09-09(多伦多电影节),https://movie.douban.com/subject/26965165/,7.9,"剧情,爱情,同性",5,真实事件改编，服,,2018-02-06 22:14:44,2017 / 美国 / 剧情 爱情 同性 传记 / 安吉拉·罗宾森 / 卢克·伊万斯 丽贝卡·豪尔
25814668,副本 第一季,,https://dou.img.lithub.cc/movie/25814668.jpg,2018-02-02(美国),https://movie.douban.com/subject/25814668/,7.7,"剧情,科幻,惊悚",4,剧情前半部分紧凑，后部分太撤,,2018-02-05 00:06:31,2018 / 美国 / 剧情 科幻 惊悚 / 乌塔·布里兹维茨 彼得·霍尔 尼克·赫伦 安迪·戈达德 艾利克斯·格雷夫斯 米格尔·萨普什尼克 / 乔尔·金纳曼 詹姆斯·鲍弗
20495023,寻梦环游记,,https://dou.img.lithub.cc/movie/20495023.jpg,2017-11-24(中国大陆),https://movie.douban.com/subject/20495023/,9.1,"喜剧,动画,音乐",5,,,2018-02-02 16:10:13,2017 / 美国 / 喜剧 动画 音乐 奇幻 / 李·昂克里奇 阿德里安·莫利纳 / 安东尼·冈萨雷斯 盖尔·加西亚·贝纳尔
